year,cad_pct_gdp,gdp_growth_pct,inr_usd_rate,forex_reserves_usd_bn,fuel_imports_pct,jewellery_demand_tonnes,bar_coin_demand_tonnes,india_supply_tonnes,gold_price_usd_oz
2010,-3.25,8.5,45.73,300.5,31.66,661.7,340.1,974.5,1224.5
2011,-3.43,5.24,46.67,298.7,34.03,619.3,354.7,974.5,1571.5
2012,-5.0,5.46,53.44,300.4,37.97,595.2,319.0,974.5,1669.0
2013,-2.65,6.39,58.6,298.1,39.52,615.5,341.2,1040.4,1411.2
2014,-1.34,7.41,61.03,325.1,38.51,626.5,206.0,1016.1,1266.4
2015,-1.07,8.0,64.15,353.3,26.78,662.3,194.9,1084.4,1160.1
2016,-0.53,8.26,67.2,361.7,25.04,504.5,161.6,701.0,1250.8
2017,-1.44,6.8,65.12,412.6,27.72,601.9,169.3,1052.4,1257.1
2018,-2.43,6.45,68.39,399.2,33.25,598.0,162.4,898.6,1268.5
2019,-1.05,3.87,70.42,463.5,31.88,544.6,145.8,840.8,1392.6
2020,1.22,-5.78,74.1,590.2,28.36,315.9,130.4,401.7,1769.6
2021,-1.06,9.69,73.92,638.5,29.87,610.9,186.5,994.0,1798.6
2022,-2.36,7.61,78.6,567.3,37.84,600.6,173.6,739.4,1800.1
2023,-0.88,9.19,82.6,627.8,33.2,575.8,185.2,806.2,1940.5
2024,-0.82,6.49,83.67,643.0,31.54,563.4,239.4,830.6,2386.2
